"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"2.5mm H,2.5mm H";"MountingHole_2.5mm";2;"MountingHole_2.5mm";;;
2;"U3";"SOIC_DBVR_TEX";1;"TLV74033PDBVR";;;
3;"Y2";"XTAL_ECS-.327-9-34QN-TR";1;"ECS-.327-9-34QN-TR";;;
4;"Y1";"OSC_CSTNE8M00GH5C000R0";1;"CSTNE8M00GH5C000R0";;;
5;"U5";"1608";1;"APT1608EC";;;
6;"R5";"RESC3115X65N";1;"CRGCQ1206F120R";;;
7;"R4";"RESC1608X55N";1;"ERJ-3EKF68R0V";;;
8;"R3,R2";"RESC1608X55N";2;"ESR03EZPJ101";;;
9;"R1";"RESC1608X55N";1;"ERJ-PA3J472V";;;
10;"M1";"x27-168";1;"x27.168";;;
11;"J1";"CONN_178487-1_TYC";1;"178487-1";;;
12;"C14,C13";"CAPC1608X90N";2;"C0603C561G8HACTU";;;
13;"C12,C11,C10,C9,C3";"CAPC1608X90N";5;"0603YC104MAT4A";;;
14;"C8,C7";"WCAP-CSRF_885392004010";2;"885392004010";;;
15;"C6,C5,C4";"CAPC1608X90N";3;"CL10A225KP8NNNC";;;
16;"C2";"CAP_EEE_F_PAN";1;"EEE-1AA471UP";;;
17;"C1";"CAPC1608X90N";1;"06035A100JAT4A";;;
18;"TP3";"TP1";1;"GND";;;
19;"TP2";"TP1";1;"SWCLK";;;
20;"TP1";"TP1";1;"SWDIO";;;
21;"U4";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
22;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MCP2551-I-SN";;;
23;"U1";"HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias";1;"DRV8833PWP";;;
24;"D3,D2,D1";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";3;"WS2812B";;;
